title,main_genre,runtime,vote_average,imdb_id,release_date,year
"Lebanon, Pa.",Drama,100.0,4.9,tt1290082,2011-04-29,2011
Hollywood Party,Comedy,68.0,2.3,tt0025263,1934-06-01,1934
The Constant Nymph,Drama,112.0,5.1,tt0035751,1943-06-23,1943
Cyclomania,Drama,93.0,6.5,tt0233509,2001-01-01,2001
My Flesh My Blood,Drama,90.0,5.0,tt1471195,2009-06-19,2009
Lifted,Animation,5.0,7.6,tt0945571,2006-12-28,2006
Living Will...,Comedy,101.0,4.7,tt1754141,2011-10-04,2011
Singham,Drama,143.0,7.0,tt1948150,2011-07-22,2011
Shanghai,Drama,105.0,5.9,tt1092634,2010-06-10,2010
The Silence Before Bach,Drama,102.0,8.3,tt1079450,2007-12-21,2007
Chandni Chowk To China,Action,149.0,5.3,tt1091229,2009-01-16,2009
Stage Struck,Comedy,91.0,0.0,tt0028305,1936-09-12,1936
Faat Kiné,Drama,120.0,7.5,tt0276951,2001-02-11,2001
Hipsters,Drama,130.0,6.2,tt1239426,2008-12-25,2008
Another Cinderella Story,Music,90.0,6.2,tt1071358,2008-09-16,2008
The Plough and the Stars,Drama,72.0,5.0,tt0028112,1936-12-26,1936
True Blue,Drama,118.0,6.5,tt0117973,1996-11-15,1996
Bunraku,Thriller,118.0,5.9,tt1181795,2010-09-01,2010
The Lonely Passion of Judith Hearne,Drama,116.0,5.9,tt0093431,1987-12-23,1987
The Little Colonel,Drama,80.0,6.1,tt0016029,1935-02-22,1935
Gantz: Perfect Answer,Action,141.0,6.6,tt1525836,2011-04-23,2011
Sarah's Key,Drama,111.0,7.2,tt1668200,2010-09-16,2010
The Tree,Drama,100.0,6.7,tt1496005,2010-05-23,2010
Xtro,Science Fiction,83.0,5.4,tt0086610,1982-12-06,1982
Waiting for Happiness,Drama,91.0,4.0,tt0308363,2002-05-19,2002
Applause,Drama,85.0,5.8,tt1314269,2009-09-24,2009
The Sitter,Comedy,81.0,5.4,tt1366344,2011-12-09,2011
Extremely Loud & Incredibly Close,Drama,129.0,6.9,tt0477302,2011-12-24,2011
Time Bomb,Thriller,72.0,6.1,tt0046432,1953-02-05,1953
Hanussen,Science Fiction,140.0,5.3,tt0095276,1988-05-20,1988
The Gruffalo,Animation,27.0,6.7,tt1461418,2009-12-25,2009
Play the Game,Comedy,105.0,5.9,tt1124388,2009-08-29,2009
The 12 Dogs of Christmas,Drama,102.0,4.4,tt0405615,2005-11-01,2005
Asterix and the Big Fight,Family,81.0,6.5,tt0096842,1989-10-03,1989
Asterix Conquers America,Family,85.0,6.2,tt0109162,1994-09-27,1994
Asterix and the Vikings,Family,78.0,6.1,tt0371552,2006-04-05,2006
Sing Your Song,Documentary,103.0,7.5,tt1787797,2012-01-13,2012
Rings on Her Fingers,Comedy,86.0,4.5,tt0035258,1942-03-20,1942
Rampart,Crime,108.0,5.3,tt1640548,2011-11-23,2011
Happy Feet Two,Animation,100.0,5.8,tt1402488,2011-11-17,2011
Angel,Drama,92.0,4.8,tt0083560,1982-09-18,1982
HealtH,Comedy,105.0,5.3,tt0079256,1980-09-12,1980
Amore,Drama,80.0,7.3,tt0040092,1948-10-30,1948
That Cold Day in the Park,Drama,113.0,6.6,tt0065086,1969-06-08,1969
Arthur Christmas,Drama,97.0,6.7,tt1430607,2011-02-22,2011
Miss Bala,Drama,113.0,6.2,tt1911600,2011-09-11,2011
Wind Across the Everglades,Action,93.0,7.0,tt0052395,1958-09-11,1958
Red Line 7000,Action,110.0,4.0,tt0059641,1965-11-09,1965
99 and 44/100% Dead,Action,98.0,3.0,tt0071089,1974-08-29,1974
The Suspect,Mystery,85.0,5.7,tt0037330,1944-12-01,1944
12 Days of Terror,Drama,86.0,5.2,tt0373653,2005-07-05,2005
A Midsummer Night's Dream,Comedy,124.0,5.3,tt0063297,1968-09-30,1968
Run for Cover,Action,93.0,6.8,tt0048570,1955-04-29,1955
Accidents Happen,Comedy,92.0,6.2,tt1119123,2009-04-23,2009
The Perfect Game,Drama,118.0,6.3,tt0473102,2010-04-01,2010
Elephant White,Action,91.0,5.1,tt1578882,2011-05-17,2011
Violet & Daisy,Thriller,88.0,6.2,tt1634136,2011-09-15,2011
Flypaper,Mystery,87.0,6.2,tt1541160,2011-08-19,2011
Bullet to the Head,Action,92.0,5.2,tt1308729,2013-01-31,2013
The Expendables 2,Action,103.0,6.1,tt1764651,2012-08-08,2012
The Snowman,Action,26.0,7.5,tt0084701,1982-12-26,1982
Sharktopus,Horror,89.0,4.7,tt1619880,2010-09-25,2010
Bathing Beauty,Comedy,101.0,7.0,tt0036628,1944-07-01,1944
What Price Glory,Comedy,116.0,5.0,tt0017540,1926-11-23,1926
The Hunger Games,Science Fiction,142.0,6.9,tt1392170,2012-03-12,2012
Womb,Romance,111.0,5.9,tt1216520,2010-07-15,2010
Fire of Conscience,Action,106.0,6.5,tt1602500,2010-04-01,2010
The Goddess,Drama,73.0,6.4,tt0195256,1934-01-01,1934
Intimate Lighting,Music,71.0,6.5,tt0060543,1965-04-08,1965
Sweeney Todd: The Demon Barber of Fleet Street,Horror,76.0,5.6,tt0028331,1936-03-01,1936
The Death King,Horror,80.0,6.8,tt0098486,1990-01-25,1990
The Dark Knight Rises,Action,165.0,7.6,tt1345836,2012-07-16,2012
Hovering Over the Water,Drama,143.0,7.5,tt0092306,1986-10-02,1986
Dacii,War,110.0,7.5,tt0060482,1967-05-31,1967
The Bourne Legacy,Action,120.0,6.0,tt1194173,2012-08-08,2012
"Don't Worry, I'm Fine",Drama,96.0,7.3,tt0485241,2006-09-06,2006
I Melt with You,Drama,129.0,5.5,tt1691920,2011-12-09,2011
Sherlock Holmes: A Game of Shadows,Adventure,129.0,7.0,tt1515091,2011-11-22,2011
Life in a Day,Documentary,95.0,7.3,tt1687247,2011-01-27,2011
Evidence of Blood,TV Movie,0.0,5.9,tt0154467,1998-04-13,1998
The Cost of Living,Comedy,98.0,6.3,tt0348572,2003-07-30,2003
Flamenco,Foreign,100.0,5.5,tt0113077,1995-06-16,1995
A Funny Man,Drama,116.0,6.9,tt1706596,2011-08-25,2011
Judex,Adventure,300.0,7.0,tt0006886,1916-12-16,1916
Wild Animals,Comedy,105.0,6.9,tt0190882,1997-10-25,1997
Coriolanus,Drama,123.0,5.9,tt1372686,2011-02-14,2011
Americano,Drama,105.0,5.0,tt1742023,2011-11-30,2011
Stagecoach,Western,115.0,4.5,tt0061024,1966-04-21,1966
Angelus,Drama,103.0,8.3,tt0295168,2001-11-02,2001
The Forty-First,Drama,88.0,6.6,tt0049783,1956-10-15,1956
Macon County Line,Drama,89.0,7.6,tt0071788,1974-01-01,1974
Gitmek: My Marlon and Brando,Drama,90.0,0.0,tt0920460,2008-04-25,2008
Prom Night in Mississippi,Documentary,90.0,8.3,tt1334555,2009-01-15,2009
This Is Not a Film,Documentary,75.0,6.9,tt1667905,2011-09-27,2011
Carmen Comes Home,Comedy,86.0,7.3,tt0043699,1951-03-21,1951
Outside Satan,Drama,110.0,7.3,tt1666168,2011-10-19,2011
The Student,Foreign,124.0,6.8,tt1865357,2011-09-01,2011
Shit Year,Drama,95.0,5.0,tt1294212,2010-05-15,2010
Toronto Stories,Drama,89.0,4.8,tt1113827,2008-01-01,2008
Backstage,Drama,112.0,6.8,tt0436091,2005-11-16,2005
Better Things,Drama,93.0,6.1,tt0872245,2008-05-17,2008
A New Life,Drama,102.0,7.0,tt0310313,2002-11-27,2002
"Why Are the Bells Ringing, Mitica?",Comedy,132.0,5.0,tt0082241,1981-09-26,1981
Young Adult,Comedy,94.0,5.6,tt1625346,2011-12-16,2011
Mr. Bones 2: Back from the Past,Comedy,101.0,5.1,tt0995857,2008-11-27,2008
Faces in the Crowd,Thriller,102.0,5.8,tt1536410,2011-10-25,2011
New Year's Eve,Comedy,118.0,5.7,tt1598822,2011-12-08,2011
Mission: Impossible - Ghost Protocol,Action,133.0,6.8,tt1229238,2011-12-07,2011
G.I. Joe: The Revenge of Cobra,Family,150.0,8.0,tt0231627,1984-09-10,1984
We Bought a Zoo,Drama,124.0,6.5,tt1389137,2011-12-22,2011
April in Paris,Comedy,94.0,6.0,tt0044370,1952-12-24,1952
The Girl with the Dragon Tattoo,Thriller,158.0,7.2,tt1568346,2011-12-14,2011
The Darkest Hour,Horror,89.0,4.8,tt1093357,2011-12-22,2011
Picture Me,Documentary,88.0,7.3,tt1459052,2010-09-19,2010
Last Holiday,Comedy,88.0,6.8,tt0042665,1950-05-15,1950
Alvin and the Chipmunks: Chipwrecked,Comedy,87.0,5.4,tt1615918,2011-12-14,2011
Albert Nobbs,Drama,113.0,6.2,tt1602098,2011-12-21,2011
Julia's Eyes,Horror,118.0,6.7,tt1512685,2010-10-29,2010
Metrobranding,History,92.0,1.5,tt1709695,2010-02-21,2010
Salvation Boulevard,Comedy,96.0,5.6,tt1251743,2011-07-15,2011
Friends with Kids,Comedy,100.0,5.7,tt1720616,2011-09-09,2011
The Girl in the Red Velvet Swing,Drama,109.0,6.0,tt0048119,1955-10-01,1955
Intruders,Horror,100.0,5.2,tt1634121,2011-09-12,2011
Pitfall,Thriller,86.0,6.6,tt0040695,1948-06-24,1948
In the Land of Blood and Honey,Drama,127.0,5.8,tt1714209,2011-12-23,2011
Kongo,Horror,86.0,7.3,tt0023101,1932-10-01,1932
Shockproof,Crime,79.0,6.2,tt0041871,1949-01-25,1949
Boy Meets Girl,Comedy,86.0,5.5,tt0029940,1938-08-27,1938
Model Shop,Drama,95.0,8.0,tt0064679,1969-02-11,1969
Broken Lullaby,Drama,76.0,6.3,tt0022725,1932-01-24,1932
The Toast of New York,Comedy,109.0,3.5,tt0029675,1937-07-30,1937
Texas,Drama,93.0,5.3,tt0034269,1941-10-09,1941
Peas at 5:30,Drama,107.0,5.6,tt0366416,2004-03-04,2004
Today's Special,Comedy,99.0,6.2,tt1153053,2009-10-14,2009
Brutal Beauty: Tales of the Rose City Rollers,Documentary,80.0,4.0,tt1590295,2010-01-09,2010
Sophie's Revenge,Comedy,107.0,5.6,tt1303833,2009-08-13,2009
Reagan,Documentary,0.0,5.2,tt1822382,2011-02-07,2011
Santa Buddies,Adventure,88.0,5.0,tt1328875,2009-11-19,2009
The Last Lions,Documentary,88.0,7.2,tt1692928,2011-02-11,2011
Machine Gun McCain,Drama,116.0,7.3,tt0065895,1969-04-01,1969
The Outside Man,Crime,104.0,6.8,tt0070083,1972-12-21,1972
Private Hell 36,Crime,81.0,4.9,tt0047370,1954-09-03,1954
Territories,Thriller,95.0,5.4,tt1683970,2010-10-19,2010
Girl Walks Into a Bar,Comedy,80.0,5.1,tt1682246,2011-03-07,2011
Professor Layton and the Eternal Diva,Family,100.0,7.6,tt1488591,2009-12-01,2009
Bringing Up Bobby,Comedy,95.0,5.1,tt1656170,2011-11-25,2011
The Painting Sellers,Drama,58.0,0.0,tt1646131,2010-09-03,2010
On Thin Ice,Crime,60.0,0.0,tt1346669,2009-09-23,2009
The Chapman Report,Comedy,125.0,6.3,tt0055841,1962-10-05,1962
Skyscraper Souls,Drama,99.0,3.4,tt0023486,1932-07-16,1932
Ladies vs Ricky Bahl,Drama,140.0,6.0,tt1954598,2011-12-09,2011
Pariah,Drama,86.0,7.0,tt1233334,2011-12-27,2011
A Muppet Family Christmas,Family,48.0,6.7,tt0251282,1987-12-16,1987
Kung Fu Panda Holiday,Animation,21.0,6.5,tt1702433,2010-11-26,2010
Tanner Hall,Drama,96.0,5.4,tt1151410,2009-09-14,2009
Newlyweds,Comedy,85.0,5.6,tt1880418,2011-12-26,2011
The Devil Inside,Thriller,83.0,4.6,tt1560985,2012-01-06,2012
Born To Race,Action,99.0,5.5,tt1781781,2011-03-19,2011
Roadie,Drama,95.0,6.1,tt1450330,2011-08-20,2011
Contraband,Thriller,109.0,6.1,tt1524137,2012-01-12,2012
Chak De! India,Drama,153.0,6.8,tt0871510,2007-08-10,2007
Cloportes,Comedy,0.0,6.1,tt0059491,1965-10-01,1965
Mantrap,Western,86.0,5.0,tt0017119,1926-07-24,1926
The Cow,Drama,105.0,7.7,tt0064356,1969-01-01,1969
Local Color,Drama,116.0,6.5,tt0140336,1977-04-19,1977
Beneath the Darkness,Thriller,96.0,4.8,tt1781775,2011-10-21,2011
Being Elmo: A Puppeteer's Journey,Documentary,80.0,7.4,tt1787660,2011-10-21,2011
Idol of the Crowds,Drama,60.0,4.8,tt0029044,1937-09-30,1937
Joyful Noise,Comedy,117.0,6.7,tt1710396,2012-01-13,2012
Mi mejor enemigo,Comedy,100.0,7.0,tt0410316,2005-01-01,2005
To Die Like a Man,Drama,133.0,6.4,tt1424361,2009-10-06,2009
The Sea Gull,Romance,144.0,8.5,tt0063569,1968-12-23,1968
Dolphin Tale,Drama,113.0,6.6,tt1564349,2011-09-23,2011
Chico & Rita,Animation,94.0,6.5,tt1235830,2010-11-19,2010
The Iron Lady,History,105.0,6.2,tt1007029,2011-12-30,2011
Happy Tears,Comedy,96.0,4.9,tt1219828,2009-10-16,2009
The Golden Boys,Comedy,97.0,4.8,tt0882969,2008-12-11,2008
Elena,Drama,109.0,7.0,tt1925421,2011-05-21,2011
Aurora,Drama,181.0,5.8,tt1403047,2011-03-11,2011
With Heart & Soul,Drama,124.0,8.0,tt1334328,2009-10-22,2009
The Conquest,Comedy,105.0,5.6,tt1711484,2011-05-18,2011
Mad Bastards,Drama,94.0,6.3,tt1787758,2010-01-01,2010
Mr. Bug Goes to Town,Animation,78.0,5.7,tt0033727,1941-12-09,1941
Work in Progress,Documentary,125.0,7.2,tt0290591,2001-10-19,2001
The Wild Bees,Comedy,114.0,6.4,tt0243859,2001-11-08,2001
The End of the Line,Documentary,85.0,5.9,tt1176727,2009-06-12,2009
Nostalgia for the Light,Drama,90.0,7.8,tt1556190,2010-10-27,2010
Top Floor Left Wing,Drama,110.0,7.0,tt1509842,2010-11-15,2010
Albatross,Drama,90.0,6.1,tt1541149,2011-10-14,2011
Loosies,Comedy,89.0,5.8,tt1568337,2012-02-01,2012
The Revenant,Comedy,110.0,6.4,tt1336006,2009-08-16,2009
The Mill and the Cross,Drama,92.0,6.4,tt1324055,2011-03-18,2011
One Trick Pony,Drama,98.0,6.5,tt0081280,1980-10-03,1980
Cat Run,Action,102.0,6.0,tt1446147,2011-04-01,2011
The Man Next Door,Drama,110.0,6.5,tt1529252,2009-11-10,2009
The Divide,Horror,112.0,5.7,tt1535616,2011-03-13,2011
Underworld: Awakening,Fantasy,88.0,6.1,tt1496025,2012-01-19,2012
The Grey,Action,117.0,6.4,tt1601913,2012-01-26,2012
Man on a Ledge,Action,102.0,6.2,tt1568338,2012-01-13,2012
Sacrifice,Drama,128.0,6.2,tt1726738,2010-12-17,2010
Veijarit,Foreign,0.0,5.5,tt1604115,2010-12-25,2010
The Pruitt-Igoe Myth,Documentary,79.0,6.9,tt1788461,2012-01-20,2012
First Family,Comedy,97.0,2.7,tt0080739,1980-12-25,1980
All Night Long,Drama,91.0,7.0,tt0054614,1962-02-06,1962
Gorilla at Large,Horror,83.0,5.0,tt0047041,1954-05-01,1954
The Garden of Eden,Drama,111.0,4.2,tt1031243,2008-01-01,2008
Time Without Pity,Mystery,85.0,6.1,tt0049856,1957-03-01,1957
Descongelate!,Drama,0.0,0.0,tt0380311,2003-09-12,2003
White Irish Drinkers,Drama,109.0,6.3,tt1550524,2011-03-25,2011
Haywire,Action,93.0,5.6,tt1506999,2011-11-06,2011
Case départ,Comedy,94.0,5.9,tt1821362,2011-07-05,2011
The Las Vegas Story,Drama,88.0,4.6,tt0044825,1952-01-30,1952
My Man and I,Drama,99.0,0.0,tt0044938,1952-09-05,1952
Secrets,Drama,83.0,4.0,tt0024539,1933-03-16,1933
Westbound,Western,69.0,4.8,tt0053441,1959-04-25,1959
The Don Is Dead,Crime,106.0,5.6,tt0069989,1973-11-14,1973
Contact High,Comedy,98.0,7.6,tt0780002,2009-03-19,2009
The Whistleblower,Drama,112.0,6.6,tt0896872,2010-09-13,2010
The Human Centipede 2 (Full Sequence),Drama,91.0,4.5,tt1530509,2011-10-06,2011
Dad Savage,Crime,104.0,6.4,tt0118915,1998-06-05,1998
You and Me,Drama,90.0,8.4,tt0030996,1938-06-03,1938
The Nazis - A Warning From History,Documentary,289.0,8.8,tt0207907,1997-09-10,1997
Zen,Drama,127.0,6.2,tt1156470,2009-01-10,2009
King of Beggars,Action,96.0,6.5,tt0100963,1992-12-17,1992
Einstein and Eddington,History,90.0,6.8,tt0995036,2008-11-29,2008
14 Blades,Drama,114.0,6.5,tt1442571,2010-02-04,2010
The Locals,Horror,88.0,5.7,tt0387357,2003-10-17,2003
"Buona Sera, Mrs. Campbell",Comedy,108.0,5.6,tt0062767,1968-12-16,1968
My Future Boyfriend,Comedy,73.0,4.6,tt1747924,2011-04-10,2011
The Terrorizers,Drama,109.0,7.4,tt0091355,1986-01-01,1986
Goodbye,Drama,104.0,8.5,tt1926992,2011-09-07,2011
The Loneliest Planet,Drama,113.0,5.8,tt1695405,2011-08-10,2011
Policeman,Drama,105.0,5.7,tt1978447,2011-07-09,2011
Disorder,Documentary,58.0,7.5,tt1519635,2009-03-31,2009
Red Psalm,Drama,87.0,5.6,tt0067467,1972-03-09,1972
Regeneration,Romance,72.0,7.5,tt0005960,1915-09-12,1915
The Afternoon of a Torturer,Comedy,76.0,7.0,tt0290423,2001-09-07,2001
We Won't Grow Old Together,Drama,110.0,5.5,tt0069027,1972-05-02,1972
"Turn Me On, Dammit!",Drama,76.0,6.4,tt1650407,2011-08-19,2011
Faust,Fantasy,140.0,6.8,tt1437357,2011-09-08,2011
Post Mortem,Thriller,98.0,6.2,tt1714886,2010-07-02,2010
Decasia,Documentary,67.0,6.7,tt0303325,2002-01-24,2002
Viva,Music,120.0,5.6,tt0393956,2007-01-01,2007
Fados,Comedy,90.0,6.7,tt1056422,2007-12-31,2007
Daddy Longlegs,Drama,100.0,6.4,tt1426362,2009-05-16,2009
Praise,Drama,98.0,5.0,tt0147192,1998-09-11,1998
Stanley Kubrick's Boxes,Documentary,48.0,6.8,tt1263704,2008-07-15,2008
Street Mobster,Crime,92.0,6.3,tt0068629,1972-05-06,1972
Alexandria… Why?,Drama,133.0,5.0,tt0077751,1979-10-06,1979
The Grand Maneuver,Comedy,106.0,5.0,tt0048133,1955-10-25,1955
Can Go Through Skin,Drama,94.0,6.0,tt1132593,2009-01-29,2009
Morgen,Drama,100.0,5.5,tt1567130,2010-10-01,2010
"What's Up, Scarlet?",Comedy,0.0,5.0,tt0465666,2005-05-18,2005
Christmas Evil,Drama,100.0,5.6,tt0081793,1980-11-01,1980
Three Wise Men,Drama,0.0,5.0,tt1270769,2008-11-14,2008
Call Her Savage,Drama,88.0,3.5,tt0022737,1932-11-27,1932
Apollo 18,Horror,86.0,5.0,tt1772240,2011-07-20,2011
Crazy Horse,Documentary,134.0,7.4,tt2043814,2011-10-05,2011
Seeking Justice,Action,105.0,5.8,tt1214962,2011-09-02,2011
The Sound and the Fury,Drama,110.0,6.2,tt0053298,1959-03-27,1959
La Pointe-Courte,Romance,80.0,6.1,tt0048499,1955-05-13,1955
Hostel: Part III,Horror,88.0,4.8,tt1255916,2011-12-27,2011
Wyvern,Drama,90.0,5.5,tt1331335,2009-01-31,2009
The Disappearance of Haruhi Suzumiya,Animation,162.0,7.8,tt1572781,2010-02-05,2010
The Poseidon Adventure,Adventure,173.0,4.5,tt0419358,2005-11-20,2005
A River Called Titas,Family,159.0,4.2,tt0070809,1973-04-26,1973
The Vanquished,Drama,110.0,5.5,tt0045294,1953-09-04,1953
The Blue Bird,Drama,75.0,6.0,tt0008891,1918-03-31,1918
Red Tails,Drama,125.0,5.9,tt0485985,2012-01-19,2012
In Darkness,Drama,145.0,7.1,tt1417075,2011-09-02,2011
Odd Obsession,Drama,107.0,5.8,tt0052957,1959-06-23,1959
The Flowers of War,Drama,145.0,7.1,tt1410063,2011-12-15,2011
Enthusiasm,Documentary,67.0,6.3,tt0021375,1931-04-02,1931
The Scenesters,Comedy,0.0,4.5,tt1260587,2009-08-31,2009
Thunder Soul,Documentary,83.0,8.4,tt1611180,2010-03-13,2010
The Nun,Horror,101.0,4.3,tt0371853,2005-11-03,2005
Vlad,Thriller,98.0,3.1,tt0337744,2003-05-16,2003
The Intouchables,Drama,112.0,8.2,tt1675434,2011-11-02,2011
Declaration of War,Drama,100.0,7.0,tt1931470,2011-05-10,2011
One for the Money,Action,91.0,5.3,tt1598828,2012-01-26,2012
The Incredible Petrified World,Adventure,70.0,3.1,tt0053944,1957-01-01,1957
Queen of the Amazons,Adventure,61.0,3.0,tt0039743,1947-01-15,1947
Becoming Chaz,Documentary,80.0,5.0,tt1705969,2011-01-20,2011
Countdown to Looking Glass,Drama,90.0,6.0,tt0087090,1984-10-14,1984
W.E.,Drama,119.0,5.8,tt1536048,2011-09-01,2011
The Innkeepers,Horror,102.0,5.4,tt1594562,2011-12-01,2011
Nancy Goes to Rio,Music,100.0,6.5,tt0042779,1950-03-10,1950
Dog Tags,Drama,90.0,3.4,tt1212408,2008-01-01,2008
Big Miracle,Adventure,107.0,6.6,tt1430615,2012-02-02,2012
Collision Earth,Action,86.0,6.0,tt1887703,2011-03-24,2011
The Great Bank Hoax,Comedy,87.0,0.0,tt0076107,1978-11-01,1978
The Wonderful World of Puss 'n Boots,Family,80.0,5.3,tt0064714,1969-03-18,1969
Reel Injun,Documentary,86.0,7.1,tt1484114,2009-09-10,2009
A Man Called Sledge,Western,93.0,6.5,tt0066050,1970-11-14,1970
Cameraman: The Life and Work of Jack Cardiff,Documentary,86.0,7.4,tt1626811,2010-05-05,2010
Six Degrees of Celebration,Comedy,89.0,6.1,tt1782568,2010-12-12,2010
Six Degrees of Celebration 2,Comedy,106.0,6.8,tt2124096,2011-12-15,2011
This Time Around,Comedy,0.0,5.2,tt0363129,2003-06-22,2003
Enid,Drama,82.0,6.2,tt1397265,2009-11-16,2009
Jenny,Comedy,0.0,0.0,tt0027818,1936-09-18,1936
State Fair,Comedy,97.0,5.3,tt0024610,1933-02-10,1933
Grave Encounters,Thriller,92.0,6.2,tt1703199,2011-09-09,2011
Detective Dee and the Mystery of the Phantom Flame,Action,119.0,6.5,tt1123373,2010-09-18,2010
Hurry Sundown,Drama,146.0,6.4,tt0061796,1967-02-09,1967
Batch '81,Drama,100.0,4.2,tt0138317,1982-11-18,1982
The Eleventh Year,Documentary,52.0,7.0,tt0019225,1928-05-14,1928
The Career of Nikos Dyzma,Comedy,110.0,6.1,tt0312862,2002-03-15,2002
E=mc²,Action,120.0,6.7,tt0322120,2002-08-23,2002
Chronicle,Science Fiction,84.0,6.6,tt1706593,2012-02-01,2012
The Woman in Black,Drama,95.0,6.1,tt1596365,2012-02-01,2012
Dottie Gets Spanked,Comedy,30.0,6.2,tt0106757,1993-09-17,1993
Woman in Love,Comedy,108.0,6.3,tt1802810,2011-12-15,2011
Toast,Drama,90.0,6.3,tt1658851,2010-12-30,2010
The Art of Getting By,Drama,83.0,6.4,tt1645080,2011-06-17,2011
The Human Resources Manager,Comedy,103.0,7.2,tt1311075,2011-03-04,2011
Bucky Larson: Born to Be a Star,Comedy,97.0,4.4,tt1411664,2011-09-09,2011
The Monk,Thriller,101.0,5.8,tt1605769,2011-07-12,2011
Can Mr. Smith Get to Washington Anymore?,Documentary,82.0,0.0,tt1014673,2006-06-16,2006
A Doll's House,Comedy,105.0,5.6,tt0069987,1973-05-22,1973
The Canyon,Thriller,102.0,5.9,tt0960741,2009-10-23,2009
Cass Timberlane,Drama,119.0,6.0,tt0039250,1947-11-06,1947
All Watched Over by Machines of Loving Grace,Documentary,177.0,8.1,tt1955162,2011-06-06,2011
Yes: 9012 live,Music,67.0,0.0,tt0204116,1985-11-07,1985
Kisses For My President,Comedy,113.0,6.0,tt0058266,1964-08-21,1964
Third Star,Drama,92.0,7.5,tt1510906,2010-06-01,2010
Living Proof,Drama,125.0,3.0,tt1229367,2008-10-18,2008
Barbie in the Nutcracker,Animation,76.0,6.4,tt0288441,2001-09-30,2001
Dylan Moran: Monster,Comedy,85.0,7.8,tt0439553,2004-11-15,2004
"Dylan Moran: Like, Totally...",Comedy,66.0,7.5,tt1023122,2006-11-13,2006
Dylan Moran: What It Is,Comedy,76.0,7.6,tt1583937,2009-11-23,2009
"Dylan Moran: Yeah, Yeah",Comedy,73.0,7.5,tt2114375,2011-11-14,2011
Safe House,Action,115.0,6.3,tt1599348,2012-02-09,2012
The Vow,Drama,104.0,7.0,tt1606389,2012-02-05,2012
Swamp Shark,TV Movie,85.0,4.3,tt1684927,2011-06-25,2011
Moon of the Wolf,Horror,75.0,5.4,tt0068967,1972-09-26,1972
She Gods of Shark Reef,Action,63.0,3.0,tt0052188,1958-08-01,1958
King Kong Escapes,Action,96.0,5.9,tt0061868,1967-07-22,1967
The Chocolate Soldier,Music,102.0,0.0,tt0033464,1941-11-01,1941
Frisco Jenny,Drama,73.0,5.3,tt0022775,1932-12-30,1932
My Boy Jack,Drama,93.0,6.5,tt0851430,2007-11-11,2007
Louis C.K.: Live at the Beacon Theater,Comedy,62.0,8.1,tt2112999,2011-12-10,2011
Special Bulletin,TV Movie,103.0,6.8,tt0086350,1983-03-20,1983
As Luck Would Have It,Drama,98.0,5.8,tt1808240,2011-11-30,2011
The Black Power Mixtape 1967-1975,Documentary,100.0,7.7,tt1592527,2011-09-09,2011
The Girl from Jones Beach,Comedy,78.0,5.5,tt0041415,1949-07-16,1949
Holding Trevor,Drama,88.0,4.7,tt0960770,2007-06-16,2007
Castle of Sand,Drama,143.0,7.5,tt0202604,1974-10-19,1974
At Home by Myself... with You,Comedy,90.0,0.0,tt1347509,2009-10-06,2009
Pitfall,Fantasy,97.0,7.1,tt0203612,1962-07-01,1962
Casual Relations,Drama,80.0,0.0,tt0069854,1974-03-22,1974
Monsieur Lazhar,Drama,94.0,6.6,tt2011971,2011-09-10,2011
Tin Pan Alley,Drama,94.0,5.0,tt0033167,1940-11-29,1940
BookWars,Documentary,79.0,0.0,tt0250266,2000-03-11,2000
Kino Eye,Documentary,78.0,7.8,tt0015039,1924-10-31,1924
Silence,Drama,129.0,7.1,tt0067755,1971-11-13,1971
"For a Good Time, Call...",Comedy,85.0,5.8,tt1996264,2012-08-31,2012
The Jodorowsky Constellation,Documentary,91.0,6.1,tt0109474,1994-01-01,1994
Casey Jones,Action,35.0,3.8,tt2061604,2011-09-18,2011
Janie Jones,Drama,114.0,6.2,tt1509130,2010-09-17,2010
Thirteen Women,Drama,59.0,5.7,tt0023582,1932-09-16,1932
Journey 2: The Mysterious Island,Adventure,94.0,5.8,tt1397514,2012-01-19,2012
Stella Does Tricks,Drama,99.0,6.2,tt0117739,1997-11-06,1997
Valerie,Comedy,80.0,6.7,tt0841182,2007-04-26,2007
The Boys,Drama,100.0,6.6,tt0056356,1962-11-30,1962
Perfect Sense,Drama,92.0,6.9,tt1439572,2011-01-24,2011
The Shrine,Horror,85.0,5.8,tt1341710,2010-10-14,2010
Israeli Intelligence,Action,40.0,4.3,tt1248976,2007-01-01,2007
Johnny Cash at Folsom Prison,Music,60.0,0.0,tt1334247,2008-10-18,2008
Fake,Thriller,0.0,5.0,tt1507566,2010-06-09,2010
Tim and Eric's Billion Dollar Movie,Comedy,94.0,5.2,tt1855401,2012-03-02,2012
The Pearl,Adventure,85.0,8.3,tt0037981,1947-01-01,1947
Rollo and the Spirit of the Woods,Family,92.0,7.0,tt0249131,2001-12-21,2001
Beautiful Kate,Mystery,90.0,6.0,tt1209377,2009-06-13,2009
Chapiteau-Show,Comedy,207.0,6.8,tt1651118,2011-12-12,2011
Kokowaah,Comedy,123.0,6.4,tt1700258,2011-02-02,2011
Hearts of the West,Comedy,102.0,5.1,tt0073096,1975-10-08,1975
